Distance,ChargeWeight,PPV
300,1100,125.6066667
350,1300,112.12
400,1450,98.69333333
450,1550,86.28666667
500,1600,74.63666667
550,1500,60.57
600,1400,50.03
650,1450,45.05666667
700,1600,43.24
750,1700,40.55666667
800,1650,35.59333333
850,1450,29.24333333
900,1500,27.43
950,1300,22.3
1000,1150,18.51333333
1050,1100,16.43666667
1100,1000,14.23333333
1150,1050,13.58
1200,1100,13.36
1250,1050,12.09333333
1300,1100,11.85666667
1350,1100,11.15666667
1400,1150,10.86666667
1450,1150,10.31666667
1500,1200,10.11
1550,1250,9.903333333
1600,1300,9.713333333
1650,1350,9.526666667
1700,1300,8.813333333
1750,1300,8.32
1800,1250,7.78
1850,1150,6.96
1900,1050,6.183333333
1950,1050,5.933333333
2000,1000,5.48
300,1200,131.4533333
350,1600,129.3966667
400,1850,117.37
450,1900,99.39
500,1700,76.69
550,1650,64.14666667
600,1750,58.62333333
650,1450,44.35333333
700,1550,41.40666667
750,1400,34.32333333
800,1200,27.24
850,1200,24.67666667
900,1150,21.61666667
950,1100,19.25666667
1000,1100,17.71333333
1050,1200,17.49333333
1100,1300,17.38666667
1150,1100,14.16666667
1200,1050,12.63333333
1250,1000,11.50333333
1300,1050,11.30666667
1350,1050,10.64666667
1400,1100,10.42666667
1450,1100,9.86
1500,1150,9.68
1550,1100,8.85
1600,1100,8.406666667
1650,1100,7.993333333
1700,1150,7.906666667
1750,1050,7.013333333
1800,1050,6.706666667
1850,1000,6.176666667
1900,1000,5.92
1950,1000,5.676666667
2000,1000,5.443333333
300,1050,140.6833333
350,1300,131.67
400,1350,111.1833333
450,1350,93.54333333
500,1300,77.78
550,1300,67.76
600,1200,64.37333333
650,1550,59.66333333
700,1600,55.38666667
750,1750,53.49
800,1850,50.61
850,1800,45.43
900,1850,42.17333333
950,1900,40.46
1000,1500,31.50333333
1050,1500,29.35
1100,1200,22.47333333
1150,1100,20.56666667
1200,1050,18.50666667
1250,1050,17.52
1300,1100,17.11666667
1350,1100,16.20333333
1400,1150,15.86
1450,1200,15.55
1500,1200,14.81
1550,1150,13.66666667
1600,1150,13.01
1650,1200,12.86333333
1700,1150,11.93333333
1750,1100,11.02333333
1800,1050,10.27666667
1850,1050,9.846666667
1900,1050,9.49
1950,1000,8.806666667
2000,1000,8.5
